epoch,mark,Measured Torque (R),Desired Torque (R),Measured Torque (L),Desired Torque (L),Gait/100 (R),Toe FSR (R),Gait/100 (L),Toe FSR (L),Heel FSBattery Level (Volts),???
1784017722.734578,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-4.070000,0.000000,0.000000
1784017722.745571,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-3.350000,0.000000,0.000000
1784017722.764861,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-3.440000,0.000000,0.000000
1784017722.766141,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-3.460000,0.000000,0.000000
1784017722.787491,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-3.140000,0.000000,0.000000
1784017722.794885,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-2.910000,0.030000,0.000000
1784017722.810021,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-2.880000,0.030000,0.000000
1784017722.828903,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-2.590000,0.000000,0.000000
1784017722.840168,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-2.530000,0.000000,0.000000
1784017722.863064,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-2.860000,0.000000,0.000000
1784017722.872202,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-2.920000,0.000000,0.000000
1784017722.894150,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-3.130000,0.000000,0.000000
1784017722.901061,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-2.980000,0.000000,0.000000
1784017722.922742,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-1.920000,0.000000,0.000000
1784017722.938026,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-2.230000,0.000000,0.000000
1784017722.959397,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-2.220000,0.000000,0.000000
1784017722.967516,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-1.800000,0.000000,0.000000
1784017723.012055,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-1.820000,0.000000,0.000000
1784017723.050130,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-1.200000,0.000000,0.000000
1784017723.064741,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,-0.300000,0.000000,0.000000
1784017723.074004,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.140000,0.000000,0.000000
